d,dK,hK,fu,rK,mb
3581,3581,1,-3825497/2*u + 228923315/2,19.2488976364417,1/2*sqrt(3581)
3583,14332,1,1828385278857125351629111551*u + 109443788970476567211613752128,67.5583557661149,sqrt(3583)
3585,3585,10,-8*u + 479,6.86484668836435,1/2*sqrt(3585)
3586,14344,2,1064271192121949388800172*u - 63731985603659812931482385,60.1098759777566,sqrt(3586)
3587,14348,2,412593*u - 24710842,17.7158998332174,sqrt(3587)
3589,3589,2,-10519105/2*u + 630181311/2,20.2615181311828,1/2*sqrt(3589)
3590,14360,6,12*u - 719,7.27100805468517,sqrt(3590)
3593,3593,1,32727469539925*u - 1961738141066432,35.9057544623989,1/2*sqrt(3593)
3594,14376,6,20*u - 1199,7.78239016168659,sqrt(3594)
3595,14380,14,24*u - 1439,7.96485076671640,sqrt(3595)
3597,3597,2,-40*u + 2399,8.47595439996067,1/2*sqrt(3597)
3598,14392,10,60*u - 3599,8.88155846933813,sqrt(3598)
3599,14396,10,-u + 60,4.78742229110269,sqrt(3599)
3601,3601,20,-u + 60,4.78756117999381,1/2*sqrt(3601)
3602,14408,6,60*u - 3601,8.88211402492941,sqrt(3602)
3603,14412,4,40*u + 2401,8.47678773341456,sqrt(3603)
3605,3605,2,24*u - 1441,7.96623965616345,1/2*sqrt(3605)
3606,14424,12,20*u + 1201,7.78405682931776,sqrt(3606)
3607,14428,1,18270341491660933329459152133*u - 1097285741840482842720908000168,69.8635395934543,sqrt(3607)
3611,14444,2,3682901685*u - 221311442926,26.8159839709807,sqrt(3611)
3613,3613,1,-11160523580849/2*u + 670839382029003/2,34.1395508532017,1/2*sqrt(3613)
3614,14456,2,-1339012948530*u - 80496843504949,32.7123862690256,sqrt(3614)
3615,14460,8,8*u - 481,6.86901337010154,sqrt(3615)
3617,3617,1,27359227280136601*u - 1645424962407413996,42.6376775411171,1/2*sqrt(3617)
3619,14476,4,-98365325535*u - 5917473546326,30.1020778884706,sqrt(3619)
3621,3621,2,14049/2*u - 845395/2,13.6475592527359,1/2*sqrt(3621)
3622,14488,1,56150847595190491940481978*u + 3379329498207358631383486757,64.0806220079041,sqrt(3622)
3623,14492,1,1072585986192323058739*u - 64560410841652961647128,53.2150355210946,sqrt(3623)
3629,3629,1,-183260*u + 11039799,16.9101645726857,1/2*sqrt(3629)
3631,14524,1,-474527565074012459085010150812019738080880377*u + 28593977421210979010060308155514326577373126480,107.662672481265,sqrt(3631)
3633,3633,2,2013812140*u - 121381263401,26.2153495465022,1/2*sqrt(3633)
3634,14536,4,11922838642806*u + 718740517469885,34.9016686954276,sqrt(3634)
3635,14540,2,52479336761*u - 3164029655406,29.4760147191079,sqrt(3635)
3637,3637,1,372803252317/2*u - 22482848964933/2,30.7437738662396,1/2*sqrt(3637)
3638,14552,2,21774*u - 1313317,14.7812137365402,sqrt(3638)
3639,14556,2,-43744915145204*u - 2638873708660825,36.2022757760910,sqrt(3639)
3641,3641,1,20390677407797431681639260*u - 1230387735336711409021454551,63.0702740430894,1/2*sqrt(3641)
3642,14568,2,99419533598*u + 5999867949613,30.1159057570765,sqrt(3642)
3643,14572,1,598460405841980807421099*u - 36121436092221994223682362,59.5420758990963,sqrt(3643)
3646,14584,1,68636594148085095893173701146828684327622405312*u + 4144422827980232628703245086157004113731279425535,112.638995177805,sqrt(3646)
3647,14588,2,13856033*u + 836771328,21.2382085673855,sqrt(3647)
3649,3649,2,-2460224391190777317065*u + 148614659763872563758468,54.0487909133687,1/2*sqrt(3649)
3651,14604,2,-279759665101007*u - 16904059623765770,38.0594773829768,sqrt(3651)
3653,3653,2,25/2*u - 1511/2,7.32052740026939,1/2*sqrt(3653)
3655,14620,4,-13521379893*u + 817456601564,28.1226108320967,sqrt(3655)
3657,3657,2,-6078095148*u + 367561465577,27.3233035754447,1/2*sqrt(3657)
3658,14632,2,-73925802750324*u + 4471136201718703,36.7295661356266,sqrt(3658)
3659,14636,1,33767364860054925982131*u - 2042576707831897385233090,56.6694015153179,sqrt(3659)
3661,3661,1,-288014604289269/2*u + 17426668682550125/2,37.3967781106767,1/2*sqrt(3661)
3662,14648,1,-8364826069012*u - 506192941607823,34.5510862006221,sqrt(3662)
3665,3665,2,-3735869153*u + 226166692228,26.8376853211331,1/2*sqrt(3665)
3666,14664,4,496800*u + 30079999,17.9125182043612,sqrt(3666)
3667,14668,6,4905*u - 297026,13.2947221365979,sqrt(3667)
3669,3669,1,-17382107197/2*u + 1052873705665/2,27.6825444042472,1/2*sqrt(3669)
3670,14680,6,1727490*u + 104652251,19.1593006969795,sqrt(3670)
3671,14684,1,689634150895963*u + 41784090358688040,38.9644392291211,sqrt(3671)
3673,3673,1,-151571552388695060249183797*u + 9186036417720922272500191284,65.0806292417758,1/2*sqrt(3673)
3674,14696,2,-28827156924*u + 1747315736495,28.8822490419889,sqrt(3674)
3677,3677,1,8957/2*u - 543137/2,13.2051168691224,1/2*sqrt(3677)
3678,14712,2,6407624754*u + 388600122293,27.3789638691511,sqrt(3678)
3679,14716,14,84*u - 5095,9.22916211658621,sqrt(3679)
3682,14728,8,78*u + 4733,9.15546169930612,sqrt(3682)
3683,14732,2,6768853841*u + 410786342382,27.4344862486157,sqrt(3683)
3685,3685,2,-4023/2*u + 244213/2,12.4057960742783,1/2*sqrt(3685)
3686,14744,2,7534528958478*u + 457439614314245,34.4498131819226,sqrt(3686)
3687,14748,2,648517*u - 39378388,18.1818748764128,sqrt(3687)
3689,3689,2,-572267477496*u + 34757889071905,31.8725748663853,1/2*sqrt(3689)
3691,14764,1,-3860966474564908813990341364686765959018219080955834494467*u - 234567615574876492401606215621404902264929334397465877126450,137.398241366884,sqrt(3691)
3693,3693,1,214356435/2*u - 13026453077/2,23.2902479789776,1/2*sqrt(3693)
3694,14776,1,862705820187501130225190402344119302436*u + 52433780724765852865103304025354709557775,94.4535168612640,sqrt(3694)
3695,14780,2,-192596*u - 11707239,16.9688651069496,sqrt(3695)
3697,3697,1,-1027656090785951926581378686588053009*u - 62484532648618176876838279176770692884,87.7211295768382,1/2*sqrt(3697)
3701,3701,1,-374365/2*u + 22774811/2,16.9411657025029,1/2*sqrt(3701)
3702,14808,2,29728470*u - 1808800901,22.0090771576082,sqrt(3702)
3705,3705,4,-2073360*u + 126202751,19.3465474871259,1/2*sqrt(3705)
3706,14824,12,65*u + 3957,8.97638863791180,sqrt(3706)
3707,14828,2,-404333877*u - 24617923802,24.6198878049748,sqrt(3707)
3709,3709,1,-8201251823725*u + 499469029315182,34.5377138892818,1/2*sqrt(3709)
3710,14840,4,-1474*u + 89781,12.0982758311410,sqrt(3710)
3711,14844,2,18771875453607819628*u + 1143544689182643793945,49.1815669482037,sqrt(3711)
3713,3713,1,408006144*u - 24861605887,24.6297376987271,1/2*sqrt(3713)
3714,14856,2,-2073680994427674804*u - 126375502953460658705,46.9789365116348,sqrt(3714)
3715,14860,2,-7776165059948175*u - 473963480019253126,41.3930538478246,sqrt(3715)
3719,14876,9,61*u + 3720,8.91462610976146,sqrt(3719)
3722,14888,10,u - 61,4.80408822420354,sqrt(3722)
3723,14892,4,61*u - 3722,8.91516359971588,sqrt(3723)
3727,14908,1,256643420262947744441041461191425065*u + 15667865359621009679784327392716427024,86.3378223507769,sqrt(3727)
3729,3729,2,-1885351627940*u + 115130012540951,33.0702303301027,1/2*sqrt(3729)
3730,14920,4,676700861*u - 41328642927,25.1379688104316,sqrt(3730)
3731,14924,4,-3577*u - 218490,12.9876427064348,sqrt(3731)
3733,3733,1,-135851598409/2*u + 8300299199313/2,29.7473126781914,1/2*sqrt(3733)
3734,14936,1,38954527049221334615225706*u + 2380373423071447639838210245,63.7302020672252,sqrt(3734)
3737,3737,2,1748*u - 106857,12.2723939515401,1/2*sqrt(3737)
3738,14952,4,-18170*u + 1110899,14.6138273359581,sqrt(3738)
3739,14956,3,-3430132277703579*u + 209743543470762890,40.5778091383216,sqrt(3739)
